,State,Year,Rape,K&A,DD,AoW,AoM,DV,WT
150,MAHARASHTRA,2005,1545,851,341,3228,919,6233,0
151,MANIPUR,2005,25,69,0,25,0,20,0
152,MEGHALAYA,2005,63,19,1,44,0,3,0
153,MIZORAM,2005,37,0,4,49,4,0,0
154,NAGALAND,2005,17,9,0,7,0,0,0
155,ODISHA,2005,799,547,334,2238,184,1671,0
156,PUNJAB,2005,398,329,99,308,43,729,0
157,RAJASTHAN,2005,993,1549,361,2503,28,5997,0
158,SIKKIM,2005,18,2,0,38,0,4,0
159,TAMIL NADU,2005,571,783,215,1764,665,1650,0
160,TRIPURA,2005,162,43,34,161,1,439,0
161,UTTAR PRADESH,2005,1217,2256,1564,1835,2881,4505,0
162,UTTARAKHAND,2005,133,125,63,100,89,272,0
163,WEST BENGAL,2005,1686,1039,446,1572,54,6936,61
164,A & N ISLANDS,2005,4,1,0,11,1,5,0
165,CHANDIGARH,2005,33,45,3,31,9,75,0
166,D & N HAVELI,2005,5,9,0,5,0,5,0
167,DAMAN & DIU,2005,2,2,1,1,0,3,0
168,LAKSHADWEEP,2005,0,0,0,0,0,0,0
169,PUDUCHERRY,2005,6,3,4,60,26,6,0
170,ANDHRA PRADESH,2006,1049,1329,519,4534,2411,9164,0
171,ARUNACHAL PRADESH,2006,37,51,1,63,2,14,0
172,ASSAM,2006,1244,1544,105,1290,10,2548,0
173,BIHAR,2006,1232,1084,1188,530,53,1689,42
174,CHHATTISGARH,2006,995,178,103,1598,143,717,1
175,GOA,2006,21,10,0,18,7,14,0
176,GUJARAT,2006,354,945,50,736,138,4977,0
177,HARYANA,2006,608,431,255,486,491,2254,0
178,HIMACHAL PRADESH,2006,113,109,3,275,31,259,0
179,JAMMU & KASHMIR,2006,250,723,10,960,347,135,0
180,JHARKHAND,2006,799,410,281,414,44,668,5
181,KARNATAKA,2006,400,328,244,1683,38,2129,0
182,KERALA,2006,601,202,25,2543,222,3708,0
183,MADHYA PRADESH,2006,2900,617,764,6243,762,2989,0
184,MAHARASHTRA,2006,1500,921,387,3479,984,6738,1
185,MANIPUR,2006,40,79,0,42,0,10,0
186,MEGHALAYA,2006,74,25,6,57,0,13,0
187,MIZORAM,2006,72,1,0,51,0,1,0
188,NAGALAND,2006,23,3,0,3,2,3,0
189,ODISHA,2006,985,577,457,2415,247,694,12
190,PUNJAB,2006,442,418,130,314,60,801,2
191,RAJASTHAN,2006,1085,1553,394,2582,31,7038,3
192,SIKKIM,2006,20,7,0,14,0,6,0
193,TAMIL NADU,2006,457,718,187,1179,852,1248,0
194,TRIPURA,2006,189,62,35,207,0,471,0
195,UTTAR PRADESH,2006,1314,2551,1798,2096,2714,5204,0
196,UTTARAKHAND,2006,147,183,80,153,113,358,0
197,WEST BENGAL,2006,1731,1199,445,1837,63,7414,1
198,A & N ISLANDS,2006,6,5,0,14,4,7,0
199,CHANDIGARH,2006,19,57,10,20,13,102,0
200,D & N HAVELI,2006,6,14,1,5,1,5,0
201,DAMAN & DIU,2006,3,1,0,2,0,2,0
202,LAKSHADWEEP,2006,0,0,0,0,0,1,0
203,PUDUCHERRY,2006,9,13,3,56,39,19,0
204,ANDHRA PRADESH,2007,1070,1564,613,4406,3316,11335,0
205,ARUNACHAL PRADESH,2007,48,44,0,72,1,20,0
206,ASSAM,2007,1437,1471,100,789,10,3000,0
207,BIHAR,2007,1555,1260,1172,853,12,1635,56
208,CHHATTISGARH,2007,982,181,100,1549,111,824,0
209,GOA,2007,20,7,2,20,7,14,0
210,GUJARAT,2007,316,1089,42,822,120,5827,0
211,HARYANA,2007,488,554,269,417,409,2412,0
212,HIMACHAL PRADESH,2007,159,150,8,322,33,342,0
213,JAMMU & KASHMIR,2007,288,707,9,986,353,176,0
214,JHARKHAND,2007,855,534,303,342,15,801,0
215,KARNATAKA,2007,436,390,251,1828,28,2507,0
216,KERALA,2007,512,177,27,2624,262,3999,0
217,MADHYA PRADESH,2007,3010,701,742,6772,780,3294,0
218,MAHARASHTRA,2007,1451,967,436,3306,1039,7356,0
219,MANIPUR,2007,20,83,0,70,0,15,0
220,MEGHALAYA,2007,82,22,2,45,1,19,0
221,MIZORAM,2007,83,0,0,66,0,2,0
222,NAGALAND,2007,13,6,0,8,1,0,0
223,ODISHA,2007,939,660,461,2775,241,728,0
224,PUNJAB,2007,519,545,133,427,48,971,0
225,RAJASTHAN,2007,1238,1694,439,2477,28,8170,0
226,SIKKIM,2007,24,9,0,13,0,7,0
227,TAMIL NADU,2007,523,1097,208,1540,875,1976,0
228,TRIPURA,2007,157,81,36,244,4,545,0
229,UTTAR PRADESH,2007,1648,3363,2076,2522,2882,7650,0
230,UTTARAKHAND,2007,117,227,70,146,63,463,0
231,WEST BENGAL,2007,2106,1590,451,2281,99,9900,5
232,A & N ISLANDS,2007,3,9,1,21,2,18,0
233,CHANDIGARH,2007,22,46,1,32,11,112,0
234,D & N HAVELI,2007,7,6,0,0,0,3,0
235,DAMAN & DIU,2007,1,1,1,0,0,3,0
236,LAKSHADWEEP,2007,1,0,0,2,0,2,0
237,PUDUCHERRY,2007,9,14,2,89,32,17,0
238,ANDHRA PRADESH,2008,1257,1396,556,4730,3551,10306,0
239,ARUNACHAL PRADESH,2008,42,47,0,72,1,13,0
240,ASSAM,2008,1438,1789,103,1272,2,3478,0
241,BIHAR,2008,1302,1789,1210,999,21,1992,22
242,CHHATTISGARH,2008,978,216,106,1621,125,897,0
243,GOA,2008,30,28,2,32,12,12,0
244,GUJARAT,2008,374,1119,27,828,122,6094,0
245,HARYANA,2008,631,644,302,435,605,2435,0
246,HIMACHAL PRADESH,2008,157,137,3,295,41,343,0
247,JAMMU & KASHMIR,2008,219,656,21,935,296,162,0
248,JHARKHAND,2008,791,499,266,271,23,851,39
249,KARNATAKA,2008,446,405,259,1954,44,2638,1
250,KERALA,2008,568,166,31,2745,258,4138,0
251,MADHYA PRADESH,2008,2937,736,805,6445,758,3185,0
252,MAHARASHTRA,2008,1558,998,390,3619,1091,7829,0
253,MANIPUR,2008,38,87,1,57,0,28,0
254,MEGHALAYA,2008,88,25,2,54,4,32,0
255,MIZORAM,2008,77,1,0,78,0,5,0
256,NAGALAND,2008,19,7,0,15,1,4,0
257,ODISHA,2008,1113,762,401,2782,282,1618,0
258,PUNJAB,2008,517,514,128,388,49,984,0
259,RAJASTHAN,2008,1355,1863,439,2520,19,8113,0
260,SIKKIM,2008,20,4,0,19,0,5,0
261,TAMIL NADU,2008,573,1160,207,1705,974,1648,0
262,TRIPURA,2008,204,110,16,346,4,735,0
263,UTTAR PRADESH,2008,1871,4439,2237,2955,3374,8312,0
264,UTTARAKHAND,2008,87,222,73,120,306,340,0
265,WEST BENGAL,2008,2263,1907,451,2396,94,13663,5
266,A & N ISLANDS,2008,12,13,2,24,3,26,0
267,CHANDIGARH,2008,20,42,3,19,2,49,0
268,D & N HAVELI,2008,6,11,0,4,0,4,0
269,DAMAN & DIU,2008,0,1,0,2,1,5,0
270,LAKSHADWEEP,2008,2,1,0,0,0,1,0
271,PUDUCHERRY,2008,8,9,2,65,21,12,0
272,ANDHRA PRADESH,2009,1188,1526,546,5147,3520,11297,0
273,ARUNACHAL PRADESH,2009,59,28,0,58,6,13,0
274,ASSAM,2009,1631,2092,170,1342,10,4398,1
275,BIHAR,2009,929,1986,1295,726,12,2532,31
276,CHHATTISGARH,2009,976,229,128,1598,152,893,0
277,GOA,2009,47,22,3,37,10,21,0
278,GUJARAT,2009,433,1162,24,727,114,5506,0
279,HARYANA,2009,603,659,281,451,605,2617,0
280,HIMACHAL PRADESH,2009,183,122,1,318,37,284,0
281,JAMMU & KASHMIR,2009,237,825,12,972,371,196,0
282,JHARKHAND,2009,719,517,295,276,83,710,6
283,KARNATAKA,2009,509,408,264,2186,64,3185,2
284,KERALA,2009,568,173,20,2540,395,4007,0
285,MADHYA PRADESH,2009,2998,841,858,6307,728,3983,1
286,MAHARASHTRA,2009,1483,926,341,3196,1099,7681,0
287,MANIPUR,2009,31,97,0,39,2,25,0
288,MEGHALAYA,2009,112,26,0,72,1,24,1
289,MIZORAM,2009,83,0,0,61,1,4,0
290,NAGALAND,2009,22,10,0,11,0,0,0
291,ODISHA,2009,1023,799,384,2697,210,2047,1
292,PUNJAB,2009,511,513,126,319,33,1061,0
293,RAJASTHAN,2009,1519,2310,436,2485,24,10371,0
294,SIKKIM,2009,18,6,0,10,0,6,0
295,TAMIL NADU,2009,596,1133,194,1242,501,1460,0
296,TRIPURA,2009,190,92,29,384,5,815,0
297,UTTAR PRADESH,2009,1759,5078,2232,2782,2524,8566,0
298,UTTARAKHAND,2009,111,247,94,119,249,361,0
299,WEST BENGAL,2009,2336,2187,506,1942,108,16112,5
300,A & N ISLANDS,2009,18,14,1,30,7,21,0
301,CHANDIGARH,2009,29,36,2,26,2,51,0
302,D & N HAVELI,2009,4,9,0,2,1,3,0
303,DAMAN & DIU,2009,1,0,0,4,1,3,0
304,LAKSHADWEEP,2009,1,0,0,0,0,0,0
305,PUDUCHERRY,2009,1,13,0,53,16,10,0
306,ANDHRA PRADESH,2010,1362,1531,588,4634,4562,12080,0
307,ARUNACHAL PRADESH,2010,47,46,0,84,1,12,0
308,ASSAM,2010,1721,2767,175,1400,20,5410,0
309,BIHAR,2010,795,2569,1257,534,16,2271,8
310,CHHATTISGARH,2010,1012,279,115,1706,182,861,2
311,GOA,2010,36,18,1,36,16,17,0
312,GUJARAT,2010,408,1290,19,668,110,5600,0
313,HARYANA,2010,720,714,284,476,580,2720,0
314,HIMACHAL PRADESH,2010,160,162,2,350,78,275,0
315,JAMMU & KASHMIR,2010,245,840,9,1038,262,211,0
316,JHARKHAND,2010,773,696,276,245,16,650,8
317,KARNATAKA,2010,586,586,248,2544,83,3441,0
318,KERALA,2010,634,184,22,2936,537,4797,0
319,MADHYA PRADESH,2010,3135,1030,892,6646,918,3756,5
320,MAHARASHTRA,2010,1599,1124,393,3661,1180,7434,0
321,MANIPUR,2010,34,107,0,31,0,18,0
322,MEGHALAYA,2010,149,37,0,48,0,24,0
323,MIZORAM,2010,92,0,0,75,0,3,0
324,NAGALAND,2010,16,6,0,13,3,1,0
325,ODISHA,2010,1025,912,388,2905,232,2067,5
326,PUNJAB,2010,546,576,121,349,38,1163,0
327,RAJASTHAN,2010,1571,2477,462,2339,23,11145,0
328,SIKKIM,2010,18,6,1,11,0,3,0
329,TAMIL NADU,2010,686,1464,165,1405,638,1570,0
330,TRIPURA,2010,238,91,25,376,9,937,0
331,UTTAR PRADESH,2010,1563,5468,2217,2793,11,7978,0
332,UTTARAKHAND,2010,121,249,75,125,165,334,0
333,WEST BENGAL,2010,2311,2764,507,2465,163,17796,8
334,A & N ISLANDS,2010,24,8,0,31,10,9,0
335,CHANDIGARH,2010,31,28,5,29,4,41,0
336,D & N HAVELI,2010,3,10,0,11,2,3,0
337,DAMAN & DIU,2010,1,2,0,2,0,3,0
338,LAKSHADWEEP,2010,0,0,0,0,0,0,0
339,PUDUCHERRY,2010,3,14,1,46,22,7,0
340,Andhra Pradesh,2011,1442,1612,599,0,3658,13376,497
341,Arunachal Pradesh,2011,42,60,0,0,0,18,0
342,Assam,2011,1700,3192,121,0,8,5246,21
343,Bihar,2011,934,3050,1413,0,11,2607,23
344,Chhattisgarh,2011,1053,365,104,0,174,834,15
345,Goa,2011,29,17,1,0,12,18,18
346,Gujarat,2011,439,1442,30,0,93,6052,46
347,Haryana,2011,733,733,255,0,490,2740,57
348,Himachal Pradesh,2011,168,191,4,0,62,239,2
349,Jammu & Kashmir,2011,277,1023,11,0,350,286,1
350,Jharkhand,2011,784,660,282,0,7,659,15
351,Karnataka,2011,636,715,267,0,81,3712,351
352,Kerala,2011,1132,221,15,0,573,5377,197
353,Madhya Pradesh,2011,3406,1088,811,0,762,3732,24
354,Maharashtra,2011,1701,1252,339,0,1071,7136,390
355,Manipur,2011,53,116,1,0,0,39,0
356,Meghalaya,2011,130,37,1,0,1,21,2
357,Mizoram,2011,77,0,0,0,1,9,8
358,Nagaland,2011,23,3,0,0,0,1,2
359,Odisha,2011,1112,1008,465,0,235,2320,23
360,Punjab,2011,479,517,143,0,31,1136,50
361,Rajasthan,2011,1800,2713,514,0,9,12218,81
362,Sikkim,2011,16,10,0,0,0,4,1
363,Tamil Nadu,2011,677,1743,152,0,464,1812,420
364,Telangana,2011,0,0,0,0,0,0,0
365,Tripura,2011,205,116,30,0,9,702,2
366,Uttar Pradesh,2011,2042,7525,2322,0,3,7121,43
367,Uttarakhand,2011,129,283,83,0,72,307,3
368,West Bengal,2011,2363,3711,510,0,200,19772,96
369,A & N Islands,2011,13,12,0,0,3,5,3
370,Chandigarh,2011,27,46,2,0,12,46,1
371,D&N Haveli,2011,4,8,0,0,0,3,1
372,Daman & Diu,2011,1,2,0,0,0,2,6
373,Delhi UT,2011,572,2085,142,0,162,1575,33
374,Lakshadweep,2011,0,0,0,0,0,0,0
375,Puducherry,2011,7,9,1,0,16,10,3
376,Andhra Pradesh,2012,1341,1403,504,4816,3714,13389,472
377,Arunachal Pradesh,2012,46,58,1,67,2,26,1
378,Assam,2012,1716,3360,140,1840,5,6407,30
379,Bihar,2012,927,3789,1275,118,37,3686,35
380,Chhattisgarh,2012,1034,350,81,1601,162,980,5
381,Goa,2012,55,16,0,49,16,24,40
382,Gujarat,2012,473,1527,21,745,93,6658,44
383,Haryana,2012,668,900,258,525,434,3137,69
384,Himachal Pradesh,2012,183,152,2,250,68,251,6
385,Jammu & Kashmir,2012,303,1041,8,1322,347,301,3
386,Jharkhand,2012,812,786,302,284,10,1261,12
387,Karnataka,2012,621,1070,218,2978,100,3684,335
388,Kerala,2012,1019,214,32,3735,498,5216,210
389,Madhya Pradesh,2012,3425,1127,743,6655,774,3988,13
390,Maharashtra,2012,1839,1140,329,3935,1294,7415,366
391,Manipur,2012,63,133,0,49,1,43,15
392,Meghalaya,2012,164,24,1,43,0,16,7
393,Mizoram,2012,103,3,0,85,0,8,0
394,Nagaland,2012,21,10,0,16,0,0,4
395,Odisha,2012,1458,1364,525,4187,304,2638,24
396,Punjab,2012,680,689,118,340,31,1293,86
397,Rajasthan,2012,2049,2697,478,2352,18,13312,99
398,Sikkim,2012,34,10,1,19,0,4,0
399,Tamil Nadu,2012,737,1693,110,1494,382,1965,500
400,Telangana,2012,0,0,0,0,0,0,0
401,Tripura,2012,229,114,37,314,7,858,0
402,Uttar Pradesh,2012,1963,7910,2244,3247,8,7661,31
403,Uttarakhand,2012,148,256,71,139,73,368,12
404,West Bengal,2012,2046,4168,593,3345,556,19865,109
405,A & N Islands,2012,12,7,2,10,4,5,2
406,Chandigarh,2012,27,66,5,45,25,73,0
407,D&N Haveli,2012,3,9,0,2,0,0,2
408,Daman & Diu,2012,5,0,0,0,0,3,3
409,Delhi UT,2012,706,2160,134,727,208,1985,24
410,Lakshadweep,2012,0,0,0,1,0,1,0
411,Puducherry,2012,13,16,0,9,2,6,4
412,Andhra Pradesh,2013,1635,1595,492,6930,4702,15084,489
413,Arunachal Pradesh,2013,75,86,0,93,3,29,2
414,Assam,2013,1937,4222,170,2409,14,8636,18
415,Bihar,2013,1128,4419,1182,331,52,4533,64
416,Chhattisgarh,2013,1380,1881,109,2261,180,1181,8
417,Goa,2013,86,70,0,162,54,40,28
418,Gujarat,2013,732,2230,29,1243,77,7812,76
419,Haryana,2013,971,1957,263,1560,643,3617,63
420,Himachal Pradesh,2013,250,290,0,493,111,328,4
421,Jammu & Kashmir,2013,378,949,7,1389,354,428,1
422,Jharkhand,2013,1204,926,307,524,18,2084,11
423,Karnataka,2013,1030,1359,277,3913,137,3276,340
424,Kerala,2013,1221,185,21,4362,404,4820,180
425,Madhya Pradesh,2013,4335,2873,776,8252,736,4988,22
426,Maharashtra,2013,3063,1874,320,8132,2632,8542,289
427,Manipur,2013,72,125,0,59,0,29,0
428,Meghalaya,2013,183,33,2,98,0,23,4
429,Mizoram,2013,89,2,0,81,0,5,0
430,Nagaland,2013,31,11,1,18,1,4,1
431,Odisha,2013,1832,2067,395,4618,426,2792,27
432,Punjab,2013,888,987,126,1045,67,1741,137
433,Rajasthan,2013,3285,4047,453,4829,25,15094,74
434,Sikkim,2013,43,16,0,29,0,5,0
435,Tamil Nadu,2013,923,1516,118,1271,313,2471,549
436,Telangana,2013,0,0,0,0,0,0,0
437,Tripura,2013,233,124,29,407,7,827,0
438,Uttar Pradesh,2013,3050,9737,2335,7303,25,8781,37
439,Uttarakhand,2013,228,633,43,295,72,435,13
440,West Bengal,2013,1685,3830,481,4913,577,18116,104
441,A & N Islands,2013,27,12,1,45,8,9,4
442,Chandigarh,2013,45,174,1,143,26,92,6
443,D&N Haveli,2013,5,11,0,1,1,1,2
444,Daman & Diu,2013,8,6,0,2,0,2,6
445,Delhi UT,2013,1636,3609,144,3515,916,3033,20
446,Lakshadweep,2013,2,0,0,1,0,0,0
447,Puducherry,2013,17,25,1,12,8,8,0
448,Andhra Pradesh,2014,961,721,468,4547,1072,6362,204
449,Arunachal Pradesh,2014,83,91,0,121,21,42,0
450,Assam,2014,1980,3895,92,3099,458,9626,29
451,Bihar,2014,1127,4735,2203,572,271,4672,31
452,Chhattisgarh,2014,1436,1393,8,2122,649,964,2
453,Goa,2014,95,86,0,202,50,35,9
454,Gujarat,2014,841,2187,53,1352,405,5991,45
455,Haryana,2014,1174,1922,13,1688,599,3478,43
456,Himachal Pradesh,2014,283,227,2,538,159,325,5
457,Jammu & Kashmir,2014,331,813,1,1421,242,467,1
458,Jharkhand,2014,1050,885,1538,440,114,1462,11
459,Karnataka,2014,1324,1457,1730,5263,253,3025,388
460,Kerala,2014,1347,143,3,4367,980,4919,91
461,Madhya Pradesh,2014,5076,5688,113,9609,3163,6451,15
462,Maharashtra,2014,3438,2457,39,10001,4052,7696,202
463,Manipur,2014,75,121,0,98,5,41,0
464,Meghalaya,2014,118,38,1,105,0,42,3
465,Mizoram,2014,120,3,0,97,53,8,0
466,Nagaland,2014,30,13,0,16,5,3,1
467,Odisha,2014,1978,2436,646,5543,802,3114,32
468,Punjab,2014,981,1176,5,1113,344,1681,63
469,Rajasthan,2014,3759,4421,12,5999,727,15905,78
470,Sikkim,2014,47,12,0,34,14,5,0
471,Tamil Nadu,2014,455,1502,292,1102,46,2103,471
472,Telangana,2014,979,711,563,3188,620,6369,192
473,Tripura,2014,239,102,1,492,82,702,0
474,Uttar Pradesh,2014,3467,10626,2133,8605,4435,10471,37
475,Uttarakhand,2014,270,275,104,343,22,301,19
476,West Bengal,2014,1466,4976,1,5670,1045,23278,80
477,A & N Islands,2014,32,17,0,41,18,14,1
478,Chandigarh,2014,59,133,2,87,31,141,0
479,D&N Haveli,2014,5,7,0,2,0,6,0
480,Daman & Diu,2014,2,1,0,3,3,1,8
481,Delhi UT,2014,2096,4034,13,4322,1186,3173,8
482,Lakshadweep,2014,1,0,0,1,0,0,0
483,Puducherry,2014,10,7,14,32,12,4,1
484,Andhra Pradesh,2015,1027,684,174,4616,1070,6121,204
485,Arunachal Pradesh,2015,71,128,0,101,15,66,2
486,Assam,2015,1733,5039,216,4293,499,11225,47
